,DE,BE,DK,UK,NL,NO
3698,51321.31941,8647.58520139319,4297.651591486922,16950.02177652563,12922.372640789476,14896.954749371711
3699,53993.96434,8347.92150422402,4518.864011084136,16079.53345916271,13033.540622868994,15034.451969867798
3700,62223.26752,8286.51609176502,5125.760671512835,16746.45355585143,13768.07470904746,16245.538122056336
3701,69740.51399,8455.02069356966,5853.314877846254,23424.34236772048,14881.337059136087,17885.06883447104
3702,74317.61151,9373.39049872863,6236.515396556089,31743.94986777018,16014.078606109739,18623.422927246484
3703,76641.67899,10604.1341698148,6301.400858157485,35805.83586230927,16683.182083564934,18562.81216789095
3704,77094.01606,11402.9604218353,6352.107118282536,37537.97989756897,17250.724915874052,18650.045322042613
3705,77072.88501,11867.0940119765,6331.980405332903,37942.13157681987,17489.334717031626,18491.54349894427
3706,77573.73932,11993.0396241198,6255.407498763734,38624.6735033165,17196.551400807064,18390.574213948777
3707,78306.4724,12098.8130203413,6253.646590867588,39529.00826606401,17045.54653867336,18282.87223054758
3708,77419.21186,11755.762546807,6167.753264754239,39134.28862006347,17144.22446698443,18265.71313046731
3709,76065.37352,11760.7153419039,6006.84550960954,38115.59127078037,16794.02848001911,18203.43764905211
3710,74589.67726,11749.8706794425,5939.876801759581,37007.96045027127,16562.41071320958,17977.83263377955
3711,74312.68652,11627.6791700602,6115.7609870572505,38030.43351945729,16461.729997154445,17904.979065116175
3712,74289.05198,11509.074796685,6039.2531934479775,38356.24131798735,15865.549123239045,17791.482149692853
3713,74280.10563,11683.0643305725,5826.918150863714,37460.83149008758,16007.871883431384,17717.47704548255
3714,72277.49302,11701.6185251202,5609.859622328376,36853.81099690672,16291.699312937984,17825.53206934178
3715,68944.38429,11387.7450525767,5385.81359673734,35844.30193811288,16390.18735833138,17574.664905854916
3716,64780.36187,11014.2325894413,5119.355230745159,34237.18144641872,15958.159805864205,17011.216768091177
3717,59623.8319,10805.9960613926,4782.581668559977,32200.9620740056,15337.982951368098,16164.265157885147
3718,55787.6232,11323.4191532891,4519.704068399003,26432.09852563614,14557.720938117809,16025.520304830938
3719,52550.28061,11031.7445877516,4373.198730597451,22294.82030036226,13867.338900508947,15516.264372365365
3720,53845.85512,10474.9442332476,4423.933683859121,23389.21680203494,13142.195454182833,15650.10614267478
3721,53468.75763,9831.85736145857,4437.6747379676035,22502.3600573601,12938.600205873812,15612.225375459275
3722,53206.5734,9323.12974394693,4502.352870309329,21330.69597350811,12843.138903913501,15369.163017212677
3723,55665.2065,9040.40015385443,4740.104326046534,20426.87060227697,12925.916175767541,15423.666466523051
3724,63168.2131,8966.67646775414,5375.075410683742,20945.84140953644,13583.661913416632,16390.563959829753
3725,70038.75214,9094.33795458453,6069.661229864478,26869.16042732867,14608.92843568256,17791.669783636047
3726,74366.63592,9853.03538138424,6367.324130769848,34666.25135092648,15744.107294155016,18566.494323300532
3727,76665.3295,10900.3035357519,6382.281117085042,38580.43828346183,16467.735615306658,18520.09522027082
3728,77012.49967,11584.0105851059,6401.227918884868,40032.39497294798,17095.980343537194,18510.125121291923
3729,77005.4901,11979.1879338112,6363.329983785503,40344.81915321272,17362.562195659233,18261.73781818861
3730,77503.32443,12073.8831913915,6243.616317188305,40774.53524942374,17095.748276252445,18107.143450741063
3731,78252.28778,12145.1649195117,6207.628220484392,41500.09688589725,16934.6164873361,17977.99460003861
3732,77225.20683,11845.4930775678,6084.924622634106,40950.41983858223,17026.495350517707,17915.432386970282
3733,75896.74452,11857.7030922545,5911.336010809822,39686.61610859027,16669.19019927974,17794.080621756737
3734,74591.16362,11864.6259457931,5850.356597020553,38328.73033502273,16437.04241919286,17460.162581649176
3735,74575.16165,11761.1765207185,6011.98904270903,38953.84109522685,16367.301863983721,17248.218145973107
3736,74864.17112,11665.2242681642,5912.567154917178,39324.81807774944,15867.327851582406,17045.862677453508
3737,74753.40734,11836.466546359,5709.195248693986,39146.35419493366,16031.753007663665,16933.04315958354
3738,72459.7654,11882.7827530085,5518.622546508385,39045.54089496101,16337.117221622568,17061.528284257685
3739,69014.92823,11641.9890815921,5324.660087418656,38057.91736983796,16437.93516370978,16890.974492689667
3740,64983.05077,11337.5975458411,5060.888874431723,35918.58530335183,16000.558510527717,16526.816653505513
3741,60172.75208,11184.8597313308,4750.667284325393,33692.61842268789,15357.400180722956,15970.333805886487
3742,56522.70842,11647.8998373812,4518.430963470354,28419.75260983545,14555.561987024132,16049.148529603128
3743,54121.7679,11419.2970294855,4395.393734322237,24655.32423073548,13837.289088562331,15659.537632193123
3744,54344.52759,10385.2393284133,4367.483715148657,23375.36542140995,13131.265680016959,15068.792245284527
3745,53973.4151,9742.42497608117,4372.2809441117415,22395.32744221208,12949.416477470522,15033.798028796551
3746,53714.52871,9231.5283872341,4432.159645806264,21163.68382277381,12875.314401712652,14807.520746972436
3747,56239.2402,8948.37736339082,4662.052335374462,20170.92849602263,13020.40265300787,14894.308736665404
3748,63844.5632,8874.2088305536,5272.327257333308,20476.30170923109,13790.21957693329,15937.555568089987
3749,71620.42161,9003.07935628706,5966.058508728742,26008.12940334228,14879.565765585126,17461.94903570695
3750,76568.7156,9761.30852336368,6290.434098430788,33679.2666388794,15901.66646901946,18303.005771170487
3751,78441.03209,10808.6853062852,6323.530939773003,38128.28772712131,16483.72851358234,18254.250550268094
3752,78796.5136,11492.6967244592,6349.52131848811,40065.9751625409,16997.579856079865,18231.890489984682
3753,78792.32893,11886.7820991922,6323.690636077014,40729.2640975527,17200.61793088035,17955.86618386194
3754,79280.59702,11984.3955436648,6223.504858634882,41323.99084942574,16895.02990861775,17763.85978218548
3755,79983.02058,12057.7610275527,6205.320416303368,42121.62079655355,16735.145190654683,17600.628008996537
3756,79137.96502,11759.1193569997,6108.394972935921,41638.42523590846,16831.073223000727,17514.363841485563
3757,77798.30889,11771.4464366171,5946.343016078739,40348.26163875015,16500.86377101062,17388.965242909217
3758,76661.02243,11777.3241421557,5883.481117761554,38903.39124270264,16318.273852602459,17063.766785143453
3759,77074.36138,11675.0603429981,6051.232871152939,39339.11612860154,16310.562209407755,16893.14391810079
3760,78384.86996,11579.7870670423,5974.84746287867,39709.41421052046,15882.636238628987,16748.752346010457
3761,78274.06254,11750.256716694,5771.6619580048755,39491.47271091558,16192.064617341497,16696.475578698417
3762,75242.1747,11795.4022740357,5573.214645766049,39267.1048246119,16557.986800506027,16857.989142659528
3763,70692.68401,11552.6887377546,5369.52891004961,38238.12743414931,16573.678345317505,16669.63848233006
3764,66031.7449,11246.9710981698,5105.866324047765,36201.37299816792,15959.934055992315,16244.784264558306
3765,61296.4109,11094.0225667841,4787.555766837726,34102.82551034349,15256.537292248355,15595.875310816662
3766,57232.54857,11557.132911793,4546.275292668494,28809.2523352759,14466.229812698619,15595.79988675791
3767,54631.31977,11329.8880570943,4417.2328704550655,24881.53171630345,13793.727195800802,15164.015817135192
3768,54240.827,10312.1537152904,4456.96404123334,23289.12221885656,13276.642108040613,15129.41513915115
3769,53863.54703,9667.72484626189,4462.171514569972,22254.12515369074,13096.503293292417,15094.962122805704
3770,53598.05853,9156.00008476543,4524.849570991728,21122.3958185015,13023.541166278415,14858.74279833246
3771,56251.62739,8873.58364417864,4764.677230864108,20175.25228534848,13161.899504835148,14921.370090831508
3772,63865.56243,8799.08729300103,5403.006936891442,20493.58695015475,13944.138217647629,15899.176488958394
3773,70308.27252,8927.03344591253,6132.316645012457,26060.6423080454,15079.585741839692,17311.39364966595
3774,74437.60662,9685.9626890519,6475.073087402623,33626.34131311651,16159.769599358155,18068.06262344953
3775,77044.62136,10732.6493280989,6504.044748131191,38061.91751805603,16786.629790152176,18017.562954367175
3776,77952.03395,11416.8850430321,6517.885064030888,40071.5095485972,17321.566170310867,18023.526755933482
3777,77950.05271,11811.9810585714,6488.269660508258,40649.47481415548,17539.382859894697,17780.370494264298
3778,78460.04288,11910.974790793,6378.073076775521,41248.50188048369,17230.129901318563,17612.84301048667
3779,79103.85934,11985.8758448017,6342.603181076364,42025.83648296208,17071.791585611267,17468.67042061254
3780,77755.4217,11687.9933325105,6230.052795299547,41544.57963264929,17157.031031472266,17392.649243800966
3781,76251.18435,11699.3615321123,6052.4163809827405,40318.62824023791,16808.167597620115,17275.44866075753
3782,74800.60927,11706.2843856509,5981.159905462777,38910.23430436503,16598.55955799811,16958.994864058168
3783,74775.71959,11604.1241080744,6145.228430490524,39324.94136058857,16537.239575385192,16796.708267976544
3784,75242.44378,11509.3511864276,6075.196416773077,39466.80869543212,15977.469952953536,16647.321973181446
3785,75742.54125,11678.2063193829,5871.106337508569,39037.29863916081,16219.784018644805,16576.53288826184
3786,73684.28025,11722.4891968815,5667.552016633985,38934.15038628357,16580.671140978615,16721.432740293243
3787,70095.51492,11478.3608656577,5457.1145898955765,38255.06155555281,16653.54008376134,16535.29361506903
3788,65868.01148,11172.4361829106,5180.196538240048,36668.02015115739,16119.754811751933,16132.027471999478
3789,60806.16659,11019.3323691531,4853.907090032248,34841.38339081205,15439.844875343733,15522.924595482022
3790,56944.27924,11482.4944749525,4606.09953176905,29533.57446861556,14633.144033222165,15563.850003819465
3791,54523.52506,11256.2503288719,4471.6854409984635,25510.51763337143,13942.43302823029,15161.995905434891
