,Technology,Country,Capacity TYNDP,Capacity ERAA
373,Solar,UK,23407.674,31407.59197953
374,Wind Offshore,UK,34749.605,42837.29999998
375,Wind Onshore,UK,26590.369,28686.702505943
376,Hydro - Pondage (Energy),AL,,0.0
377,Hydro - Pondage (Turbine),AL,,0.0
378,Hydro - Pump Storage Closed Loop (Energy),AL,,0.0
379,Hydro - Pump Storage Closed Loop (Pumping),AL,,0.0
380,Hydro - Pump Storage Closed Loop (Turbine),AL,,0.0
381,Hydro - Pump Storage Open Loop (Energy),AL,,0.0
382,Hydro - Pump Storage Open Loop (Pumping),AL,,0.0
383,Hydro - Pump Storage Open Loop (Turbine),AL,,0.0
384,Hydro - Reservoir (Energy),AL,,1721680.0
385,Hydro - Reservoir (Turbine),AL,,1989.743999999999
386,Hydro - Run of River (Turbine),AL,,603.6719999999999
387,Hydro - Pondage (Energy),AT,,5314.956999999999
388,Hydro - Pondage (Turbine),AT,,1146.78
389,Hydro - Pump Storage Closed Loop (Energy),AT,,1800.0
390,Hydro - Pump Storage Closed Loop (Pumping),AT,,-300.0
391,Hydro - Pump Storage Closed Loop (Turbine),AT,,300.0
392,Hydro - Pump Storage Open Loop (Energy),AT,,1739213.0
393,Hydro - Pump Storage Open Loop (Pumping),AT,,-5142.92
394,Hydro - Pump Storage Open Loop (Turbine),AT,,5673.5
395,Hydro - Reservoir (Energy),AT,,769036.568
396,Hydro - Reservoir (Turbine),AT,,2755.529
397,Hydro - Run of River (Turbine),AT,,4893.021529999998
398,Hydro - Pondage (Energy),BA,,810.0
399,Hydro - Pondage (Turbine),BA,,227.8
400,Hydro - Pump Storage Closed Loop (Energy),BA,,0.0
401,Hydro - Pump Storage Closed Loop (Pumping),BA,,0.0
402,Hydro - Pump Storage Closed Loop (Turbine),BA,,0.0
403,Hydro - Pump Storage Open Loop (Energy),BA,,3430.0
404,Hydro - Pump Storage Open Loop (Pumping),BA,,-440.0
405,Hydro - Pump Storage Open Loop (Turbine),BA,,440.0
406,Hydro - Reservoir (Energy),BA,,1753710.0
407,Hydro - Reservoir (Turbine),BA,,1615.9
408,Hydro - Run of River (Turbine),BA,,40.8
409,Hydro - Pondage (Energy),BE,,0.0
410,Hydro - Pondage (Turbine),BE,,0.0
411,Hydro - Pump Storage Closed Loop (Energy),BE,,5750.0
412,Hydro - Pump Storage Closed Loop (Pumping),BE,,-1226.76
413,Hydro - Pump Storage Closed Loop (Turbine),BE,,1305.0
414,Hydro - Pump Storage Open Loop (Energy),BE,,0.0
415,Hydro - Pump Storage Open Loop (Pumping),BE,,0.0
416,Hydro - Pump Storage Open Loop (Turbine),BE,,0.0
417,Hydro - Reservoir (Energy),BE,,0.0
418,Hydro - Reservoir (Turbine),BE,,0.0
419,Hydro - Run of River (Turbine),BE,,148.2020000000001
420,Hydro - Pondage (Energy),BG,,0.0
421,Hydro - Pondage (Turbine),BG,,0.0
422,Hydro - Pump Storage Closed Loop (Energy),BG,,218635.753968254
423,Hydro - Pump Storage Closed Loop (Pumping),BG,,-784.0
424,Hydro - Pump Storage Closed Loop (Turbine),BG,,864.0
425,Hydro - Pump Storage Open Loop (Energy),BG,,255257.29242979237
426,Hydro - Pump Storage Open Loop (Pumping),BG,,-148.0
427,Hydro - Pump Storage Open Loop (Turbine),BG,,535.0
428,Hydro - Reservoir (Energy),BG,,842860.8593812599
429,Hydro - Reservoir (Turbine),BG,,1281.3
430,Hydro - Run of River (Turbine),BG,,535.51
431,Hydro - Pondage (Energy),CH,,0.0
432,Hydro - Pondage (Turbine),CH,,0.0
433,Hydro - Pump Storage Closed Loop (Energy),CH,,109930.6666666667
434,Hydro - Pump Storage Closed Loop (Pumping),CH,,-2290.0
435,Hydro - Pump Storage Closed Loop (Turbine),CH,,2290.0
436,Hydro - Pump Storage Open Loop (Energy),CH,,100000.0
437,Hydro - Pump Storage Open Loop (Pumping),CH,,-1500.0
438,Hydro - Pump Storage Open Loop (Turbine),CH,,2070.0
439,Hydro - Reservoir (Energy),CH,,8179438.969764838
440,Hydro - Reservoir (Turbine),CH,,8530.0
441,Hydro - Run of River (Turbine),CH,,4210.0
442,Hydro - Pondage (Energy),CY,,0.0
443,Hydro - Pondage (Turbine),CY,,0.0
444,Hydro - Pump Storage Closed Loop (Energy),CY,,0.0
445,Hydro - Pump Storage Closed Loop (Pumping),CY,,0.0
